time,krot,vkco,svav,vsmo,nomp,grnt,nsvz,gltr,cntlp,abio,elfv,msng,rasp,ogkb,slav,data,nknc,svcb,wush,aptk,mtss,etln,prmd,lsrg,rolo,mrkv,dvec,afks,sgzh,tgka,enpg,klsb,aqua,rosn,leas,gmkn,lkoh,klvz,lent,nvtk,kzosp,tgkj,mstt,mrks,magn,geco,sofl,tatnp,flot,mgtsp,kzos,udmn,trnfp,lnzl,moex,tgkb,nkhp,eutr,fixp,qiwi,nmtp,amez,unkl,orup,irao,ttlk,rtkm,sftl,mtlr,vseh,mrkz,chmf,prfn,lsngp,hhru,unac,sfin,deli,nompp,rual,vrsb,obne,kzizp,vtbr,rbcm,t,ozon,chmk,alrs,mgnt,mgkl
2023-12-11 00:00:00+00:00,2322.0,575.0,712.0,30860.0,499.99,0.2484,479.0,594.0,10.4,87.58,0.609,2.87,412.4,0.5472,120.0,,102.5,,209.99,12.792,252.8,72.72,,645.0,1.84,0.539,2.894,15.96,4.4,0.892,449.2,28.8,812.5,568.0,,168.3,7189.0,,683.0,1542.0,23.94,115.97,177.0,0.605,50.95,38.5,141.48,633.0,122.41,1282.0,99.9,29199.98,1390.0,16010.0,199.8,0.10585,867.0,245.0,292.0,469.6,10.145,72.0,7500.0,3.8,4.435,0.8345,72.93,59.97,282.31,,0.92,1289.4,5.244,181.95,3086.0,1.151,572.6,,275.0,35.84,455.0,1850.0,565.0,112.98,7.9,3111.6,2684.5,9500.0,72.26,6193.0,
2023-12-12 00:00:00+00:00,2310.0,546.8,690.0,30120.0,473.99,0.24,465.0,587.9,10.56,86.3,0.6182,2.7695,396.3,0.5421,113.0,,103.4,,207.82,12.468,253.5,73.0,,649.8,1.9,0.5195,2.825,15.55,4.11,0.8534,431.4,27.68,791.5,557.4,,167.98,7100.0,,664.5,1516.0,23.84,115.0,202.4,0.604,50.0,38.25,138.9,628.4,119.89,1298.0,97.7,28750.0,1379.5,16020.0,190.87,0.988,842.0,241.85,276.3,455.0,9.96,68.5,7400.0,3.59,3.963,0.83,70.97,58.0,282.0,,0.8885,1261.2,5.324,183.5,2942.0,1.15,570.0,,254.89,35.16,451.5,1900.0,554.98,114.48,7.85,3097.6,2596.0,9500.0,72.62,6137.5,
2023-12-13 00:00:00+00:00,2298.0,563.0,696.0,29200.0,499.99,0.22,470.0,583.5,11.16,89.4,0.6018,2.886,404.0,0.5391,106.0,,104.5,,205.8,12.586,251.5,74.4,,665.0,1.1368,0.5215,2.88,15.55,4.3,0.854,437.6,27.83,788.0,556.55,,167.2,7062.5,,656.0,1510.6,23.53,106.6,190.75,0.6285,50.68,38.77,138.38,627.4,120.85,1270.0,99.4,29900.0,1367.0,15710.0,188.68,0.10085,874.0,239.5,276.1,444.0,10.19,70.8,7730.0,3.389,3.9485,0.8565,70.23,54.99,273.9,,0.8795,1252.8,5.416,181.5,2957.0,1.227,570.0,,255.4,35.22,463.0,1849.71,547.0,113.93,7.76,3085.6,2634.0,9590.0,73.14,6128.0,
2023-12-14 00:00:00+00:00,2232.0,564.0,697.5,28980.0,497.0,0.2088,464.0,581.0,11.8,88.8,0.622,2.849,396.95,0.5418,104.9,,103.9,,202.99,13.7,252.4,74.7,,663.0,1.144,0.521,2.85,15.67,4.66,0.8628,436.6,27.73,791.0,558.6,,167.56,7084.5,,663.0,1514.4,24.79,105.89,191.95,0.638,50.7,38.8,136.4,628.7,122.27,1294.0,99.8,29600.0,1365.5,15740.0,193.56,0.1008,875.0,239.15,273.7,444.6,10.345,69.15,7600.0,3.29,3.93,0.845,69.97,55.79,280.93,,0.889,1250.8,5.39,182.0,3055.0,1.2,549.6,,283.0,35.48,465.5,1620.0,538.0,115.75,7.48,3087.0,2648.5,9610.0,71.81,6165.5,
2023-12-15 00:00:00+00:00,2309.0,573.4,713.0,28880.0,464.0,0.1982,460.0,593.8,11.14,88.58,0.617,2.8905,404.95,0.5545,111.0,,104.1,14.9,202.94,13.272,251.35,79.0,,654.8,1.1478,0.5265,2.788,15.779,4.44,0.874,442.8,27.28,788.0,563.0,,169.98,6632.0,,655.0,1498.2,25.0,109.9,186.9,0.63,50.0,38.2,136.18,633.9,124.97,1300.0,103.2,29499.98,1398.0,15750.0,196.53,0.9955,847.5,238.0,272.2,449.6,10.935,69.15,7390.0,3.24,3.986,0.8775,70.46,55.46,290.0,,0.9,1273.6,5.746,183.5,3013.0,1.176,522.4,,277.98,35.465,456.0,1530.0,530.0,118.1,7.39,3026.0,2644.5,9700.0,71.89,6398.0,
2023-12-18 00:00:00+00:00,2446.0,586.0,889.5,29960.0,467.0,0.1981,483.0,615.65,11.38,103.88,0.6568,2.98,419.5,0.573,113.99,,108.55,13.1,208.98,13.776,255.8,81.28,,660.0,1.1948,0.539,3.28,15.93,4.16,0.8948,452.8,27.98,853.5,569.5,,172.46,6761.5,,667.0,1509.2,25.49,112.88,198.55,0.6275,51.13,45.97,146.86,643.9,130.45,1372.0,102.9,29999.95,1418.5,16160.0,203.0,0.106,920.0,240.0,276.3,480.6,11.325,72.95,7560.0,3.238,4.2,0.932,71.54,56.32,298.7,,0.92,1309.0,5.8,189.5,3096.0,1.26,538.6,,279.0,35.635,477.0,1641.0,577.99,119.65,7.46,3048.6,2715.0,9700.0,73.35,6472.5,
2023-12-19 00:00:00+00:00,2420.0,588.0,920.0,31960.0,467.0,0.1878,514.5,624.0,11.66,103.7,0.6698,3.3,416.0,0.5802,113.0,,108.25,13.6,211.0,14.9,254.0,83.0,,658.0,1.2468,0.571,3.185,15.644,4.143,0.907,464.0,29.8,880.0,574.8,,172.34,6771.0,,666.0,1539.0,25.82,112.69,201.25,0.678,51.68,46.55,149.6,654.3,132.0,1450.0,107.6,29989.61,1445.0,16580.0,206.0,0.11115,1039.0,238.1,328.0,612.6,11.395,74.75,8130.0,3.349,4.195,0.9495,72.69,52.33,296.78,,0.95,1313.0,5.85,193.35,3188.0,1.2305,539.0,,267.0,35.535,530.0,1579.0,533.89,117.85,7.55,3114.6,2735.0,9780.0,72.94,6495.5,
2023-12-20 00:00:00+00:00,2535.0,583.6,870.0,36880.0,462.99,0.193,512.0,629.65,11.42,103.6,0.6682,3.1595,414.75,0.5733,111.2,,110.55,12.905,213.3,14.272,254.7,82.7,,661.6,1.245,0.586,3.295,16.88,4.115,0.9098,463.0,31.37,878.0,584.9,,173.46,6849.0,,695.0,1544.8,25.81,111.39,205.95,0.7365,52.36,45.48,149.88,660.7,132.93,1410.0,109.9,30499.98,1452.0,16280.0,202.75,0.1094,1050.0,238.25,302.7,603.0,11.275,75.8,8200.0,3.22,4.4,0.958,73.9,52.32,293.29,,0.975,1336.6,6.15,191.9,3110.0,1.328,538.0,,282.0,35.5,545.0,1544.97,522.0,118.38,7.65,3086.0,2715.0,10095.0,73.15,6768.0,
2023-12-21 00:00:00+00:00,2515.0,577.8,854.0,37480.0,470.6,0.2,537.0,618.95,11.66,102.86,0.66,3.205,415.7,0.5758,107.96,,107.55,13.29,213.8,14.78,250.95,80.9,,653.0,1.25,0.577,3.544,16.185,4.81,0.896,452.4,30.84,871.5,581.2,,171.4,6774.0,,684.0,1532.8,25.54,111.49,207.6,0.737,52.42,45.9,148.0,660.6,135.4,1444.0,109.0,29999.98,1441.5,17060.0,199.97,0.109,1036.5,237.15,296.1,598.6,11.16,74.3,8440.0,3.2,4.365,1.3,73.27,62.98,303.75,,0.959,1349.8,6.112,191.15,3099.0,1.414,536.8,,290.0,35.21,615.0,1538.98,519.0,117.25,7.97,3053.6,2673.5,9675.0,72.36,6748.5,
2023-12-22 00:00:00+00:00,2572.0,578.0,845.0,35960.0,485.13,0.1799,551.0,624.5,11.48,106.48,0.6502,3.2145,426.95,0.5849,106.6,,107.5,13.795,213.0,13.96,250.6,79.64,,651.0,1.2644,0.5655,3.45,16.82,4.98,0.8934,452.0,30.87,875.0,585.45,,171.5,6795.0,,688.0,1508.0,25.29,108.5,218.4,0.714,52.69,45.2,149.92,665.1,137.68,1418.0,109.5,31000.0,1460.5,16700.0,196.49,0.105,1011.0,238.0,294.9,604.6,11.23,72.35,8150.0,3.2,4.1,0.98,72.42,62.96,313.0,,0.9465,1354.8,5.972,193.35,3068.0,1.379,535.8,,300.0,35.55,586.0,1511.97,517.9,116.53,8.5,3039.0,2655.0,9860.0,72.14,6741.0,
